bus_name,lat,lon
Bus 1,19.9678201,73.7598903
Bus 1,19.9677337,73.7596939
Bus 1,19.9677644,73.7594511
Bus 1,19.9676,73.7594092
Bus 1,19.9676469,73.758904
Bus 1,19.9679151,73.7588629
Bus 1,19.9679721,73.7588858
Bus 1,19.9683595,73.7590416
Bus 1,19.9683932,73.758959
Bus 1,19.9685439,73.7585888
Bus 1,19.9687616,73.7580542
Bus 1,19.9688023,73.7579283
Bus 1,19.9691287,73.7579758
Bus 1,19.9695532,73.7580547
Bus 1,19.9699994,73.7581376
Bus 1,19.970055,73.7578779
Bus 1,19.9701038,73.7576495
Bus 1,19.9701894,73.7571232
Bus 1,19.9702322,73.7569293
Bus 1,19.9702273,73.7569066
Bus 1,19.9704666,73.7557268
Bus 1,19.9702273,73.7569066
Bus 1,19.9702322,73.7569293
Bus 1,19.9701894,73.7571232
Bus 1,19.9701038,73.7576495
Bus 1,19.970055,73.7578779
Bus 1,19.9699994,73.7581376
Bus 1,19.9695532,73.7580547
Bus 1,19.9691287,73.7579758
Bus 1,19.9688023,73.7579283
Bus 1,19.9687616,73.7580542
Bus 1,19.9685439,73.7585888
Bus 1,19.9683932,73.758959
Bus 1,19.9683595,73.7590416
Bus 1,19.9681586,73.7595349
Bus 1,19.9679523,73.7594907
Bus 1,19.9677644,73.7594511
Bus 1,19.9677337,73.7596939
Bus 1,19.9660166,73.7594945
Bus 1,19.9661282,73.760735
Bus 1,19.9657567,73.7603284
Bus 1,19.9655743,73.7605249
Bus 1,19.9648565,73.7612365
Bus 1,19.96508,73.7614131
Bus 1,19.9655999,73.7611858
Bus 1,19.96508,73.7614131
Bus 1,19.9648565,73.7612365
Bus 1,19.9655743,73.7605249
Bus 1,19.9654995,73.7604385
Bus 1,19.9654185,73.7603449
Bus 1,19.9652891,73.7601954
Bus 1,19.9650211,73.7598856
Bus 1,19.9647711,73.7595968
Bus 1,19.9643947,73.7594065
Bus 1,19.9641967,73.7595933
Bus 1,19.9640097,73.7597697
Bus 1,19.9638843,73.7598881
Bus 1,19.9636103,73.7601467
Bus 1,19.9633517,73.7603908
Bus 1,19.9633254,73.7604156
Bus 1,19.9630845,73.7605679
Bus 1,19.9630349,73.7606173
Bus 1,19.962099,73.759443
Bus 1,19.9617878,73.7590473
Bus 1,19.9614644,73.7593318
Bus 1,19.9609668,73.7587535
Bus 1,19.9599685,73.7582316
Bus 1,19.9596802,73.7578951
Bus 1,19.9591608,73.7583498
Bus 1,19.9589614,73.7585244
Bus 1,19.9586041,73.7588394
Bus 1,19.9581438,73.7583055
Bus 1,19.9576822,73.7577701
Bus 1,19.9571024,73.7583529
Bus 1,19.9573559,73.7586442
Bus 1,19.957715,73.759097
Bus 1,19.9581229,73.7596067
Bus 1,19.9583967,73.7599406
Bus 1,19.9590284,73.7593483
Bus 1,19.9588789,73.759169
Bus 1,19.9592615,73.7589131
Bus 1,19.9588789,73.759169
Bus 1,19.9590284,73.7593483
Bus 1,19.9583967,73.7599406
Bus 1,19.9584997,73.7600592
Bus 1,19.9581414,73.7603736
Bus 1,19.957356,73.7594444
Bus 1,19.9570864,73.76019
Bus 1,19.9569329,73.7606006
Bus 1,19.9567747,73.760958
Bus 1,19.956609,73.7613402
Bus 1,19.9564684,73.7617063
Bus 1,19.9563422,73.7620911
Bus 1,19.9560002,73.76304
Bus 1,19.9558642,73.763463
Bus 1,19.9563246,73.763605
Bus 1,19.9558642,73.763463
Bus 1,19.9554615,73.7633439
Bus 1,19.9553478,73.7637275
Bus 1,19.9552198,73.7641507
Bus 1,19.9550575,73.7655888
Bus 1,19.9550438,73.7659399
Bus 1,19.9550575,73.7655888
Bus 1,19.9543971,73.7655796
Bus 1,19.9542069,73.765537
Bus 1,19.9540001,73.7658479
Bus 1,19.953909,73.7658234
Bus 1,19.9533457,73.7658308
Bus 1,19.9529228,73.7658344
Bus 1,19.9529329,73.7653644
Bus 1,19.952845,73.7649216
Bus 1,19.9526581,73.7649623
Bus 1,19.952491,73.7645834
Bus 1,19.952331,73.7642536
Bus 1,19.9530032,73.7638861
Bus 1,19.953337,73.7636909
Bus 1,19.9531743,73.7633485
Bus 1,19.9529963,73.7628742
Bus 1,19.9532619,73.7627185
Bus 1,19.9535545,73.7625462
Bus 1,19.9540776,73.7622645
Bus 1,19.9537639,73.7616621
Bus 1,19.9540781,73.7612442
Bus 1,19.9542241,73.7610449
Bus 1,19.9547298,73.7612371
Bus 1,19.9542241,73.7610449
Bus 1,19.9540781,73.7612442
Bus 1,19.9537639,73.7616621
Bus 1,19.9540776,73.7622645
Bus 1,19.9543846,73.7621801
Bus 1,19.9545043,73.7621937
Bus 1,19.9547974,73.7622708
Bus 1,19.9552666,73.7624349
Bus 1,19.9553494,73.7624798
Bus 1,19.9555728,73.7629188
Bus 1,19.9554615,73.7633439
Bus 1,19.9558642,73.763463
Bus 1,19.9554615,73.7633439
Bus 1,19.9555728,73.7629188
Bus 1,19.9553494,73.7624798
Bus 1,19.9552666,73.7624349
Bus 1,19.9557834,73.7608306
Bus 1,19.9553138,73.7606682
Bus 1,19.9547298,73.7612371
Bus 1,19.9542241,73.7610449
Bus 1,19.9540781,73.7612442
Bus 1,19.9537639,73.7616621
Bus 1,19.9540776,73.7622645
Bus 1,19.9543846,73.7621801
Bus 1,19.9545043,73.7621937
Bus 1,19.9547974,73.7622708
Bus 1,19.9552666,73.7624349
Bus 1,19.9553494,73.7624798
Bus 1,19.9555728,73.7629188
Bus 1,19.9554615,73.7633439
Bus 1,19.9558642,73.763463
Bus 1,19.9563246,73.763605
Bus 1,19.9570993,73.7637795
Bus 1,19.9569146,73.764304
Bus 1,19.956901,73.7645365
Bus 1,19.9575959,73.7646789
Bus 1,19.9590537,73.7649751
Bus 1,19.9589211,73.7664979
Bus 1,19.9610405,73.7671397
Bus 1,19.9614196,73.7672761
Bus 1,19.9619974,73.7674811
Bus 1,19.962104,73.7671463
Bus 1,19.9622338,73.7667856
Bus 1,19.962104,73.7671463
Bus 1,19.9619974,73.7674811
Bus 1,19.9624215,73.7678357
Bus 1,19.9633196,73.7681658
Bus 1,19.9636974,73.7683046
Bus 1,19.9646024,73.7686372
Bus 1,19.9650487,73.7688012
Bus 1,19.9650961,73.7685676
Bus 1,19.9654628,73.7687111
Bus 1,19.9659359,73.7688722
Bus 1,19.9659334,73.7680562
Bus 1,19.9659524,73.7678969
Bus 1,19.9660508,73.7673512
Bus 1,19.9661184,73.7672569
Bus 1,19.9662279,73.7668345
Bus 1,19.9662876,73.7664368
Bus 1,19.9665532,73.7666451
Bus 1,19.9670637,73.7658787
Bus 1,19.9674856,73.765289
Bus 1,19.9683634,73.7650689
Bus 1,19.9679886,73.764729
Bus 1,19.9680334,73.7646702
Bus 1,19.96866,73.7639559
Bus 1,19.9690734,73.7634074
Bus 1,19.9696221,73.7626986
Bus 1,19.9700236,73.7622119
Bus 1,19.9700721,73.7621531
Bus 1,19.9704212,73.7625245
Bus 1,19.9707777,73.7621308
Bus 1,19.9709945,73.761888
Bus 1,19.9710298,73.7618485
Bus 1,19.9710793,73.761793
Bus 1,19.9713489,73.7614911
Bus 1,19.9719371,73.7603829
Bus 1,19.9723758,73.7603239
Bus 1,19.9727449,73.7602932
Bus 1,19.9729725,73.7602468
Bus 1,19.9733067,73.7602922
Bus 1,19.9734801,73.7603133
Bus 1,19.9739035,73.7604421
Bus 1,19.9739726,73.759994
Bus 1,19.9745113,73.7595953
Bus 1,19.9750224,73.7596443
Bus 1,19.9756148,73.7596607
Bus 1,19.9756828,73.7589534
Bus 1,19.9758388,73.7589746
Bus 1,19.9760946,73.7590054
Bus 1,19.9766147,73.7590742
Bus 1,19.9768116,73.7591003
Bus 1,19.9775763,73.7592636
Bus 1,19.9779834,73.7593706
Bus 1,19.9781784,73.7594219
Bus 1,19.9786148,73.7595366
Bus 1,19.9791177,73.7596688
Bus 1,19.9790146,73.7603701
Bus 1,19.9791106,73.7608408
Bus 1,19.9792775,73.7611224
Bus 1,19.9795093,73.7615136
Bus 1,19.9796393,73.7617274
Bus 1,19.9797216,73.7618587
Bus 1,19.9799309,73.7621928
Bus 1,19.9803575,73.7625037
Bus 1,19.9799309,73.7621928
Bus 1,19.9797216,73.7618587
Bus 1,19.9796393,73.7617274
Bus 1,19.9795093,73.7615136
Bus 1,19.9792775,73.7611224
Bus 1,19.9791106,73.7608408
Bus 1,19.9790146,73.7603701
Bus 1,19.9791177,73.7596688
Bus 1,19.9798771,73.7597722
Bus 1,19.9807354,73.759894
Bus 1,19.981358,73.7599823
Bus 1,19.9814709,73.7599983
Bus 1,19.9821865,73.7600988
Bus 1,19.9824597,73.7601342
Bus 1,19.982752,73.7601804
Bus 1,19.9834235,73.7602793
Bus 1,19.9837097,73.7603215
Bus 1,19.9838825,73.7603469
Bus 1,19.984187,73.759652
Bus 1,19.9843205,73.7593474
Bus 1,19.9844693,73.759008
Bus 1,19.9846048,73.7586988
Bus 1,19.9847964,73.7582615
Bus 1,19.9851942,73.7573149
Bus 1,19.9852462,73.7571252
Bus 1,19.9854606,73.7572152
Bus 1,19.9856887,73.7566752
Bus 1,19.986015,73.7559851
Bus 1,19.986156,73.756055
Bus 1,19.9863613,73.7555618
Bus 1,19.987219,73.7559452
Bus 1,19.9872434,73.755891
Bus 1,19.9873164,73.7557293
Bus 1,19.9873974,73.7555499
Bus 1,19.9875258,73.7552369
Bus 1,19.9874481,73.7549206
Bus 1,19.9875438,73.7547546
Bus 1,19.9869196,73.7542755
Bus 1,19.9870917,73.7538715
Bus 1,19.9871595,73.7537125
Bus 1,19.9869769,73.7536259
Bus 1,19.986537,73.7534171
Bus 1,19.9862897,73.7532997
Bus 1,19.986264,73.7532875
Bus 1,19.9860808,73.7532005
Bus 1,19.9858342,73.7530834
Bus 1,19.9857323,73.7530351
Bus 1,19.985593,73.7529689
Bus 1,19.9851436,73.7539002
Bus 1,19.985593,73.7529689
Bus 1,19.9857323,73.7530351
Bus 1,19.9858342,73.7530834
Bus 1,19.9860808,73.7532005
